,id,year,refN,citeN,Prize year
108,394,1955,9,490,1964
115,1741,1956,10,297,1957
98,1952,1957,1,30,1968
62,2037,1957,5,60,1989
61,2117,1957,4,40,1989
91,3039,1957,22,2444,1972
78,3432,1958,7,2778,1977
96,3510,1958,10,581,1969
63,3606,1958,14,72,1989
87,3651,1958,3,89,1973
49,4351,1958,13,99,1994
72,4556,1958,1,203,1964
11,6070,1960,20,381,2008
89,7442,1961,6,108,1973
12,7622,1961,7,1443,2008
95,8400,1962,13,787,1969
74,9244,1962,10,461,1981
73,9787,1962,6,182,1981
17,10539,1963,1,805,2005
16,10966,1963,7,1351,2005
25,15070,1965,14,100,2003
59,23955,1969,41,69,1990
132,27503,1923,1,70,1927
131,27563,1923,1,21,1927
130,28050,1926,0,24,1933
124,28257,1914,0,9,1946
128,28414,1927,3,87,1937
127,29990,1931,3,13,1939
126,30410,1932,7,14,1939
111,30494,1932,3,1125,1963
79,30543,1932,2,34,1977
129,30876,1933,0,30,1936
123,32973,1937,3,3,1949
125,33421,1938,2,70,1944
94,33994,1939,1,38,1970
99,33996,1939,23,56,1967
112,35339,1941,1,76,1962
122,36240,1946,1,613,1952
121,36481,1946,0,46,1952
120,37028,1947,3,177,1955
106,37520,1948,7,184,1965
102,37765,1948,9,46,1965
105,37766,1948,12,131,1965
107,37912,1948,7,14,1965
117,37919,1948,0,34,1956
119,37925,1948,16,48,1955
101,38141,1948,4,43,1965
109,38399,1949,1,228,1963
110,38474,1949,3,289,1963
113,38635,1949,8,11,1961
104,39236,1949,6,176,1965
103,39239,1949,17,245,1965
60,39865,1950,6,117,1989
86,40111,1950,9,77,1975
100,40557,1950,9,176,1965
118,40642,1950,13,286,1956
68,41153,1951,48,53,1983
47,41654,1951,24,245,1994
114,43183,1952,0,11,1960
82,43773,1953,2,33,1975
84,44296,1953,4,36,1975
46,45111,1953,3,20,1995
69,176567,1971,7,414,1982
70,176568,1971,5,313,1982
75,578781,1964,3,530,1980
5,578858,1964,7,512,2013
6,578948,1964,6,585,2013
77,581483,1967,11,1659,1979
48,582006,1959,6,65,1994
28,582246,1968,5,149,2002
53,582450,1968,16,84,1990
50,584451,1969,6,135,1990
56,584452,1969,16,123,1990
23,585178,1970,4,271,2003
36,587340,1972,5,86,1996
24,587475,1972,6,44,2003
39,587958,1972,3,77,1996
20,588342,1973,10,752,2004
22,588343,1973,6,767,2004
81,589808,1974,7,411,1976
42,589809,1974,0,374,1976
44,589827,1974,3,226,1976
45,590924,1975,6,192,1995
13,593596,1960,8,358,2008
67,597044,1980,1,1375,1985
31,598495,1982,13,1358,1998
90,599510,1960,1,118,1973
88,599615,1960,2,61,1973
0,599734,1983,6,1327,2016
33,599812,1983,6,1910,1998
15,605482,1986,3,488,2007
26,606155,1987,0,312,2002
34,609070,1988,7,140,1997
14,609325,1988,6,1209,2007
35,609662,1988,4,246,1997
97,617610,1961,19,78,1968
30,623194,1995,8,139,2000
29,624629,1995,8,1650,2001
9,624849,1995,14,393,2012
10,625280,1996,22,338,2012
7,625283,1996,10,264,2012
8,627548,1996,13,452,2012
2,632541,1998,12,1045,2002
18,638092,2000,3,91,2005
4,641924,2001,15,465,2015
3,644712,2002,7,656,2015
64,646483,1962,18,67,1988
27,646515,1962,0,17,2002
